#{"t_start": 1744024443.9305143, "env_id": "None"}
r,l,t
5.910415,15,13276.197853
-2.029442,1,13284.933517
-9.286177,1,13290.034473
-27.903413,1,13298.613552
-2.652545,42,13543.241412
-4.961199,10,13602.566163
-5.57297,6,13632.177336
38.600621,14,13702.953159
41.197293,24,13825.022467
-0.492951,8,13863.558748
5.491661,12,13922.20138
-19.076969,1,13930.780363
31.818193,15,14003.673863
-5.772144,25,14152.780761
41.517691,11,14209.434396
-6.596246,3,14227.386953
-5.81064,6,14259.891857
-4.004064,1,14264.972218
-9.438957,1,14270.071989
-18.202055,1,14278.651026
-8.10931,19,14379.429025
-13.070639,1,14391.416195
-2.787505,10,14443.568969
-24.269185,1,14452.16871
-1.324177,20,14553.904204
-8.755488,3,14572.464478
-0.724819,9,14623.664745
-0.961651,9,14675.923386
-4.819616,5,14704.074155
-3.111717,7,14741.370134
-17.625164,1,14749.95393
31.449497,14,14820.18051
-1.502957,15,14898.06371
-2.539387,1,14906.662593
-0.483354,19,14994.71864
-5.583477,7,15031.755962
35.822447,17,15126.244246
1.803462,8,15168.369594
-0.00108,28,15319.513847
-2.899061,4,15338.503368
-12.088365,14,15405.092341
-4.041847,9,15455.250641
-25.113173,1,15463.859314
2.706264,8,15501.90083
-8.408413,2,15511.900032
-18.37602,1,15520.471037
-1.304759,21,15637.11037
0.81815,12,15700.796333
-3.500398,9,15743.789856
-6.863024,27,15877.957822
2.98485,1,15883.057525
-0.158891,30,16043.113159
-5.605839,5,16071.643761
-0.083883,12,16128.322935
-8.509357,2,16138.346576
-1.610253,1,16146.915605
-7.564231,5,16178.444496
-8.045948,3,16193.02354
42.775913,11,16268.218605
-1.305825,16,16359.38056
-27.090078,1,16368.066111
-6.459526,9,16411.104213
-7.612377,1,16416.184259
-27.176856,1,16424.763759
-7.145909,9,16474.242655
