#{"t_start": 1744024448.1822922, "env_id": "None"}
r,l,t
-6.945892,6,29.220633
-2.749258,6,57.976524
-6.547676,3,75.499821
31.500498,53,352.312786
-0.149576,30,516.747956
30.954252,9,566.88363
-8.258532,5,590.953737
-6.213688,3,608.574687
-7.595952,9,650.691791
-0.577139,7,686.910845
-3.709009,2,703.435133
-4.785595,22,826.947778
7.933647,18,928.594993
-2.163858,11,979.923254
-17.72405,1,988.519706
-3.506428,14,1067.414829
-0.498632,19,1173.032957
-15.596494,26,1323.21675
-9.199642,4,1341.877111
-8.259567,3,1363.42169
-5.317707,6,1396.091807
-4.469452,10,1447.394388
-4.723593,5,1478.860555
-5.963454,26,1634.529214
3.197147,42,1848.257395
1.778386,8,1898.372554
-1.199139,10,1952.463593
-2.639029,12,2017.639711
-5.294573,9,2072.863682
-5.191372,16,2156.983934
0.102253,12,2221.611189
-13.070608,17,2305.952336
35.717793,32,2473.603855
6.020844,22,2605.871041
-2.605167,10,2668.660491
2.796751,24,2793.608323
0.502401,8,2836.281266
-8.823545,13,2896.736278
1.132616,1,2905.335799
-9.237399,4,2928.393906
-7.487067,5,2955.483102
-10.62215,11,3011.595028
0.511833,20,3109.631657
-4.425465,2,3122.770894
-2.416371,13,3187.607116
28.747373,28,3341.148613
32.95689,36,3530.450728
2.876283,8,3572.097758
-0.311584,17,3654.335493
-6.508657,1,3662.876732
-21.517135,100,4186.004017
-6.670658,12,4250.228739
-4.974485,6,4285.77933
38.902428,12,4357.066824
1.233006,16,4440.380437
-3.277299,10,4490.975924
-8.193382,9,4533.601902
-8.30015,9,4577.120209
43.010323,17,4664.286971
-6.024933,17,4760.152077
-8.013763,16,4847.94088
-11.466744,7,4881.043008
45.03318,15,4954.440262
-4.413503,7,4995.167668
-25.986424,1,5003.747485
-8.278021,6,5035.868902
27.161891,8,5077.649512
-0.766187,17,5159.976002
2.983842,12,5227.576281
-9.21745,1,5232.690896
-10.412937,1,5241.290586
-6.364111,40,5454.740529
-5.671589,12,5513.370689
-22.305174,1,5525.442454
-5.831564,5,5552.42515
2.845213,8,5597.980453
-13.489042,1,5603.041232
-6.250707,3,5617.594687
-8.056488,2,5627.068919
-26.127569,1,5635.628909
-6.065125,29,5786.864361
-6.789885,25,5923.198617
-0.570323,25,6050.587759
40.620421,29,6198.788029
-7.286652,3,6213.877436
-27.061555,1,6222.456514
44.21975,21,6331.221708
-4.21656,8,6381.334153
-27.540076,1,6393.321657
-5.58492,5,6418.347374
-7.739238,1,6426.92199
-4.227494,9,6481.424084
-2.498461,14,6563.807418
-7.600945,3,6581.391219
26.89677,64,6917.245589
2.659352,15,6989.289154
-7.192066,18,7081.43442
-5.701608,16,7160.300083
-23.030608,1,7168.899312
0.336397,16,7260.048122
-26.155931,1,7268.647756
-6.154841,20,7380.478981
25.772612,55,7682.400486
-11.343399,6,7711.564875
-4.86382,21,7830.164477
-5.562013,4,7848.704643
-10.252228,85,8293.504036
1.043952,14,8374.499595
-27.828192,9,8425.343068
-5.527192,15,8508.197617
-9.379622,1,8513.281569
-9.228388,1,8521.881382
-2.318941,32,8680.559971
-10.108163,1,8689.136984
9.385794,19,8790.335437
-25.416645,1,8798.91548
-3.625771,37,8991.607173
28.770858,11,9047.165908
-4.887046,24,9177.06672
-9.004157,1,9185.558869
5.27718,5,9212.693797
-2.873272,4,9231.679211
0.378665,7,9276.197733
41.767282,16,9351.907209
2.802389,14,9422.30777
0.73148,51,9680.770508
-6.177347,26,9813.538547
-1.151172,11,9868.736801
3.032723,10,9919.696773
26.920831,35,10114.413256
-7.225753,3,10128.881973
-21.156752,1,10133.961742
-6.954519,6,10165.65221
-5.866653,3,10183.621277
-8.533417,5,10210.748701
-7.897382,23,10334.930663
-9.20283,16,10429.399547
-10.458131,63,10761.867356
-0.027035,10,10832.139687
39.222481,49,11082.458855
-3.520481,10,11133.682844
-17.667744,1,11138.781931
-1.523013,17,11219.125356
-10.820912,2,11232.625715
-7.697782,14,11309.906041
-1.93151,14,11383.695959
-5.25171,5,11410.765214
0.945492,17,11494.644236
-9.556647,1,11499.738239
-25.399559,1,11508.323246
1.83197,23,11626.486283
-0.563103,3,11641.089547
-5.448609,4,11660.003133
-0.540051,6,11699.635688
-27.190706,1,11708.214261
26.15991,13,11774.510781
-2.863741,12,11834.805777
-27.814528,1,11843.352663
-7.117949,3,11858.31911
-5.97323,23,11969.769804
-24.299487,1,11981.828177
-11.956113,6,12013.901907
-8.322255,10,12069.540872
31.295788,19,12166.060287
-5.301413,10,12212.848158
26.593405,7,12254.988382
-7.891365,2,12268.074751
-7.621427,75,12665.869505
1.789248,14,12741.119924
-8.217376,2,12750.653273
2.165048,19,12852.475403
