#{"t_start": 1744064213.6700735, "env_id": "None"}
r,l,t
-11.1,11,57.376818
-15.8,58,319.124606
-11.8,18,409.869452
-10.8,8,447.483433
-10.7,7,476.714919
-10.4,4,495.249862
-10.6,6,520.274659
-10.7,7,549.395647
-13.3,33,714.117363
-15.5,55,983.970144
-10.2,2,993.409762
-10.4,4,1008.428702
-10.6,6,1033.993166
18.5,15,1112.688735
-16.5,65,1410.031807
-10.7,7,1438.539652
-10.2,2,1447.983191
-10.1,1,1456.543162
-10.2,2,1466.023841
-10.8,8,1499.216866
-13.3,33,1652.336426
-10.1,1,1660.908838
-14.2,42,1870.91151
-10.8,8,1907.94101
-10.1,1,1916.537843
-14.2,42,2103.487693
-10.6,6,2131.668664
-10.1,1,2140.257327
-10.5,5,2167.389239
-10.9,9,2213.541597
-10.1,1,2222.234213
-10.6,6,2249.845372
18.9,11,2300.540574
-10.6,6,2328.18913
-20.3,3,2342.5473
-10.1,1,2347.622237
-10.3,3,2365.081263
-12.0,20,2469.978173
-19.8,98,2924.945109
-11.1,11,2987.272158
-10.3,3,3001.249438
-10.1,1,3009.833793
17.2,28,3142.328526
-10.2,2,3151.770196
-10.1,1,3156.840663
-10.0,100,3611.24128
-10.7,7,3640.338415
-10.1,1,3648.907572
28.1,19,3731.846353
18.3,17,3808.997433
-10.6,6,3837.153926
-10.6,6,3865.756264
-10.7,7,3898.261234
-10.1,1,3903.324937
-11.3,13,3965.294196
-11.6,16,4038.955156
-11.3,13,4100.056953
-19.3,93,4516.239116
-10.8,8,4553.465617
-10.6,6,4581.0614
12.8,72,4901.601345
-10.7,7,4933.667466
28.6,14,4997.94484
-10.9,9,5042.642438
-10.0,100,5528.374074
-10.7,7,5561.263417
-10.1,1,5569.854515
-10.4,4,5588.912498
-16.5,65,5894.124651
-11.8,18,5978.060519
-10.4,4,5996.512928
-10.1,1,6001.57298
-10.1,1,6006.673561
-10.1,1,6011.772668
-10.1,1,6016.893671
29.1,9,6059.147341
-12.0,20,6158.443547
-10.0,100,6629.407888
18.8,12,6684.744379
-10.4,4,6699.686845
-13.6,36,6873.494457
23.0,70,7206.121821
-11.0,10,7252.310768
-10.1,1,7260.8907
-10.7,7,7292.960566
-10.1,1,7301.575655
-10.4,4,7320.122608
-17.3,73,7673.105712
-10.8,8,7710.631866
-10.2,2,7716.762946
18.9,11,7768.405161
-10.4,4,7787.381569
-12.3,23,7901.814627
-11.4,14,7965.584469
24.9,51,8212.693362
-10.8,8,8246.462433
-10.8,8,8279.653803
-10.1,1,8284.735811
-11.2,12,8344.087767
-10.5,5,8367.61981
-10.0,100,8850.245487
-12.3,23,8956.588009
-19.9,99,9426.523765
-10.0,100,9882.240861
-11.2,12,9937.858837
-10.6,6,9973.882294
-10.9,9,10012.099808
-10.4,4,10031.06182
-10.4,4,10053.718027
-11.0,10,10099.869292
22.3,77,10464.080748
-11.0,10,10510.618834
-16.2,62,10792.27698
-10.3,3,10809.922354
-10.6,6,10838.101678
-16.7,67,11148.56986
-10.9,9,11190.789173
-10.4,4,11209.308737
-11.2,12,11266.964916
-13.8,38,11443.620095
-10.3,3,11457.611797
-11.2,12,11509.109402
-10.1,1,11514.197762
-10.7,7,11543.301916
-10.1,1,11551.884661
-11.1,11,11606.620114
-18.6,86,12006.060528
-10.7,7,12034.949015
-11.2,12,12093.937089
-11.4,14,12162.669736
-10.4,4,12177.686859
-18.1,81,12564.641578
-10.6,6,12589.758546
-10.6,6,12621.399151
-10.5,5,12644.897823
-10.8,8,12677.976125
-13.9,39,12857.200544
-10.1,1,12865.789243
-19.5,95,13334.702617
-10.2,2,13340.802762
-10.8,8,13385.899556
29.0,10,13432.951228
18.5,15,13506.01936
-10.9,9,13551.443359
-11.1,11,13603.26765
-10.3,3,13617.307934
-10.4,4,13635.85464
-12.4,24,13746.474763
-10.1,1,13755.051713
-11.7,17,13840.466948
-11.6,16,13917.895816
-11.0,10,13964.130771
-12.5,25,14091.833842
-11.8,18,14174.827921
-10.5,5,14198.55883
-10.1,1,14203.673139
-10.1,1,14212.268029
-12.5,25,14334.79094
18.5,15,14403.81182
-10.8,8,14444.488439
-11.2,12,14500.292571
-10.1,1,14508.8485
-10.5,5,14539.049139
-17.3,73,14926.547597
-10.7,7,14980.70256
-12.0,20,15241.64766
