#{"t_start": 1744064219.1985903, "env_id": "None"}
r,l,t
-15.5,55,245.525243
-10.7,7,277.626401
-10.6,6,305.13913
-10.6,6,336.683721
-10.6,6,367.648972
-10.3,3,381.741041
-10.1,1,390.246462
-10.6,6,421.933329
19.0,10,461.62782
-10.0,100,942.212045
18.4,16,1013.924327
-10.5,5,1038.038722
-10.1,1,1046.63208
-10.7,7,1084.172671
10.9,91,1498.693317
-12.1,21,1595.760933
-11.3,13,1663.86661
-10.5,5,1690.901858
-10.2,2,1704.005901
-11.1,11,1751.747797
-10.1,1,1763.853821
-10.8,8,1800.523475
-11.1,11,1851.286716
-10.8,8,1884.845189
-10.3,3,1902.494642
19.3,7,1938.528596
29.0,10,1981.203031
-10.4,4,2000.168116
18.9,11,2046.770034
-12.8,28,2188.941732
-10.0,100,2677.299238
-12.3,23,2785.884598
18.3,17,2859.735626
-10.9,9,2900.880262
29.0,10,2954.639093
-10.5,5,2978.247985
-11.3,13,3047.125667
11.2,88,3448.735232
-10.4,4,3467.149829
-13.5,35,3628.795506
-19.5,95,4069.522057
17.9,21,4164.244083
-11.0,10,4211.380413
-14.9,49,4427.332438
-11.7,17,4501.140076
-10.0,100,4951.212752
26.6,34,5114.488829
-10.3,3,5133.063041
-10.3,3,5147.065593
-10.1,1,5159.14245
16.5,35,5317.39145
18.7,13,5377.332225
-10.5,5,5400.410607
-17.1,71,5742.276717
-10.8,8,5779.391264
-11.5,15,5852.449907
-11.0,10,5902.650174
-10.8,8,5939.8297
-11.2,12,5995.934777
-12.9,29,6138.909908
-10.4,4,6157.866621
-10.5,5,6181.516021
-10.1,1,6190.04302
-10.8,8,6226.571547
-10.1,1,6235.138628
-12.4,24,6340.670688
19.0,10,6394.701001
-10.7,7,6424.314759
-10.0,100,6894.61431
-10.4,4,6913.750393
-10.7,7,6949.312008
-14.1,41,7139.738035
-10.8,8,7180.456859
-10.6,6,7205.584688
28.2,18,7292.449275
-10.5,5,7319.601445
29.4,6,7347.858538
-17.7,77,7716.235505
-10.8,8,7749.985067
-10.6,6,7785.343312
-10.8,8,7822.417505
-10.7,7,7855.11562
-10.1,1,7863.696486
-10.0,100,8333.543952
-10.4,4,8352.580678
-14.5,45,8573.021216
-10.6,6,8600.634822
-12.1,21,8701.088973
-10.7,7,8733.122268
-10.2,2,8750.208567
-11.1,11,8797.470282
-17.3,73,9133.904329
-10.5,5,9161.562798
-11.3,13,9220.673405
-10.1,1,9225.739932
-10.6,6,9253.764803
-10.1,1,9262.355493
-10.0,100,9732.917051
-10.6,6,9764.514626
-10.7,7,9786.528226
-10.1,1,9791.607413
-10.3,3,9802.110509
-10.4,4,9817.80095
-10.8,8,9858.165824
-10.7,7,9890.708889
-11.1,11,9945.789891
-10.3,3,9959.812824
-11.5,15,10034.101282
26.1,39,10223.47664
-10.6,6,10248.004944
19.0,10,10284.875581
-10.4,4,10303.916936
-10.7,7,10336.968062
-10.1,1,10345.531951
22.9,71,10680.267855
-10.2,2,10689.741194
-10.6,6,10717.322636
-17.2,72,11046.214925
15.3,47,11270.886655
-10.4,4,11282.437554
-10.0,100,11751.893072
12.4,76,12106.94508
-10.6,6,12131.645037
-19.4,94,12579.224236
-10.1,1,12587.809198
-10.8,8,12625.389869
-12.0,20,12713.484723
-14.6,46,12930.223687
-12.0,20,13026.877261
-10.9,9,13069.016308
-10.1,1,13077.601207
-10.7,7,13109.748418
-10.1,1,13114.934652
-11.4,14,13187.61205
-10.8,8,13221.203634
-10.1,1,13233.252937
-10.7,7,13265.303379
-10.1,1,13273.889814
-11.0,10,13324.193688
-10.3,3,13335.217196
-10.3,3,13349.395046
-10.1,1,13361.391227
-14.6,46,13579.57212
-10.1,1,13588.162603
18.6,14,13653.304307
-14.8,48,13885.705675
-12.0,20,13986.030416
-10.5,5,14009.116536
-10.4,4,14028.073038
-10.0,100,14521.466886
-13.6,36,14698.301481
-10.7,7,14741.698819
-10.3,3,14757.495824
21.2,88,15519.655227
-11.0,10,15655.742946
-11.7,17,15838.067604
