#{"t_start": 1744064218.847031, "env_id": "None"}
r,l,t
-10.8,8,38.276206
20.2,98,490.057827
-10.3,3,504.623407
-10.4,4,520.085809
-11.0,10,562.829237
-11.5,15,637.017789
-10.1,1,645.588468
-18.2,82,1038.357131
-10.5,5,1066.533751
-10.1,1,1075.085335
28.6,14,1140.104244
17.6,24,1252.193172
-16.4,64,1540.548292
-10.8,8,1577.584219
-18.2,82,1976.554197
-10.4,4,1995.524148
-10.1,1,2000.591623
-12.0,20,2085.307364
-10.9,9,2131.493165
-10.1,1,2143.584066
-10.7,7,2176.240079
-15.0,50,2432.14118
-10.2,2,2441.625926
-14.0,40,2627.094447
-10.5,5,2650.634936
-10.5,5,2674.160451
-10.1,1,2682.674705
-15.6,56,2945.447359
-11.1,11,3004.548932
-11.9,19,3091.176437
18.0,20,3189.257422
-10.6,6,3206.528066
-11.5,15,3276.35241
-10.1,1,3281.441206
-10.9,9,3323.572719
-10.5,5,3350.702442
-10.1,1,3355.786427
-10.0,100,3808.82441
-11.0,10,3855.608241
-13.1,31,4001.264399
-10.6,6,4028.784174
-11.2,12,4088.837921
20.5,95,4510.958542
-10.2,2,4520.668988
28.8,12,4575.893009
-10.6,6,4603.416736
-10.8,8,4640.833417
-10.0,100,5092.222016
-10.5,5,5119.813024
-10.1,1,5128.410384
-10.7,7,5172.983106
-10.6,6,5196.972142
-10.8,8,5230.160427
-11.4,14,5294.754156
-10.9,9,5336.35703
-10.0,100,5815.404401
28.1,19,5908.004439
-13.0,30,6048.976471
-12.4,24,6167.743498
-14.3,43,6368.531967
-10.1,1,6377.109391
-10.8,8,6415.147941
19.5,5,6438.585741
-10.4,4,6457.13556
18.9,11,6511.351087
-10.8,8,6545.01199
-10.1,1,6553.596652
-11.1,11,6600.603831
19.2,8,6638.230301
-10.7,7,6670.146822
-10.6,6,6694.459478
-10.1,1,6703.030366
-10.3,3,6717.047255
29.2,8,6753.458124
19.0,10,6796.611704
-12.3,23,6917.589707
-10.7,7,6949.636371
-10.1,1,6958.429724
-12.0,20,7049.031029
-10.3,3,7063.005808
-10.0,100,7543.135965
-10.7,7,7576.323478
-10.1,1,7581.408177
-12.0,20,7677.474854
-10.8,8,7711.516654
28.6,14,7777.2272
-14.6,46,8001.156347
-13.3,33,8156.43986
-10.4,4,8175.418911
-10.5,5,8202.542606
-14.0,40,8388.987664
-10.8,8,8430.220053
29.0,10,8476.864812
-11.1,11,8531.246019
-10.6,6,8555.811804
17.4,26,8678.3518
-10.2,2,8687.824295
-10.1,1,8696.410362
-10.8,8,8733.459859
-12.0,20,8827.495849
-10.4,4,8850.101588
18.4,16,8923.455926
-10.3,3,8937.429443
29.0,10,8983.573911
-10.7,7,9015.600628
-12.9,29,9148.313077
-10.1,1,9156.899538
-11.8,18,9240.096606
-10.3,3,9254.113699
-10.9,9,9299.228632
-10.9,9,9340.460261
-10.1,1,9349.205375
29.0,10,9394.880013
-10.8,8,9435.353517
-11.8,18,9517.071447
-10.4,4,9535.572081
29.0,10,9578.108391
-10.7,7,9615.349656
-11.0,10,9657.423495
-10.5,5,9683.051847
-10.1,1,9691.611449
-10.5,5,9714.669053
-15.0,50,9941.143799
-10.9,9,9987.33418
-14.0,40,10176.695212
-10.7,7,10210.222217
-10.1,1,10218.78793
17.7,23,10313.823684
-10.6,6,10342.314324
-10.1,1,10354.385016
-11.6,16,10427.114804
-10.9,9,10472.850076
-11.0,10,10516.492947
21.9,81,10889.659024
-10.7,7,10922.274484
-10.7,7,10957.937839
-11.0,10,11003.977844
-14.8,48,11227.71104
-10.3,3,11242.795655
-11.2,12,11292.336429
-10.9,9,11337.963398
-10.3,3,11351.877947
16.4,36,11518.452687
-10.7,7,11551.728384
-10.1,1,11560.291123
-17.3,73,11895.945161
-18.4,84,12286.032059
-12.3,23,12395.04797
-10.7,7,12431.181995
-10.7,7,12463.22305
-10.1,1,12471.832735
-11.1,11,12518.784873
-10.1,1,12527.389359
-14.9,49,12751.476291
-10.1,1,12760.155584
-10.8,8,12796.864412
-11.6,16,12875.162462
18.4,16,12949.139416
18.7,13,13009.336867
-14.3,43,13225.107762
-12.0,20,13329.520929
-10.5,5,13353.24941
18.8,12,13413.315432
29.2,8,13450.838734
-11.5,15,13527.841256
-11.5,15,13598.07707
-10.0,100,14086.650621
-11.0,10,14132.4226
23.2,68,14462.477542
-10.7,7,14495.102762
-10.1,1,14503.70612
18.0,20,14607.474349
18.4,16,14683.187511
-10.6,6,14713.275072
-10.1,1,14722.428732
-10.2,2,14735.5746
-10.4,4,14757.847157
-10.1,1,14767.025983
-10.4,4,14787.43376
-17.1,71,15393.947996
