#{"t_start": 1744883925.4487238, "env_id": "None"}
r,l,t
-1.840622,6,36.285959
-0.525566,3,54.226866
3.574901,20,150.445608
-0.127514,1,155.524648
1.192957,6,183.856965
4.141388,9,225.568026
42.825898,100,704.842412
1.256587,3,718.90806
42.644788,100,1201.576535
-0.184555,1,1210.141438
4.843426,7,1246.679056
-1.221416,1,1255.270664
14.306212,21,1352.758227
28.834951,39,1534.821534
22.502384,22,1635.042177
60.921954,100,2115.318971
-2.435067,20,2210.680717
27.442968,42,2423.581332
6.6297,14,2496.576264
-1.743836,8,2537.297146
48.17479,100,3019.588161
11.97123,9,3065.686892
46.111281,100,3548.66473
38.243355,46,3759.168758
11.843862,28,3902.702739
-44.378832,13,3966.089533
3.648883,8,4006.148223
2.689671,5,4029.846814
0.392225,1,4038.415913
2.612161,7,4070.277961
7.79688,6,4101.471439
5.969286,10,4147.275497
1.2003,1,4152.377046
9.87174,8,4189.306535
16.468588,18,4278.819412
1.318132,3,4292.893308
44.999815,100,4773.772747
0.807499,8,4810.482317
-1.000118,10,4860.089718
0.249867,1,4868.596036
14.354446,16,4945.173566
