#{"t_start": 1744904144.8236816, "env_id": "None"}
r,l,t
76.056698,80,461.787174
89.288974,100,1030.440241
3.035981,5,1060.465758
-5.475781,13,1155.889062
0.141244,1,1164.411312
72.519619,66,1541.267631
77.80671,100,2119.794685
62.641545,78,2571.935239
46.217856,71,2967.043171
-0.535472,4,2993.565552
96.769664,100,3570.836175
21.000687,30,3742.110932
85.916006,100,4381.618815
2.461498,10,4440.381775
-68.050196,15,4534.003655
15.380945,16,4647.795037
1.309718,6,4685.421501
3.232402,1,4694.168678
-0.07958,3,4710.595084
-0.999487,2,4722.772441
42.910748,42,4992.640029
19.285835,30,5193.944859
-2.358248,1,5204.760084
-2.745641,7,5248.243847
0.654732,1,5257.69827
1.765879,10,5321.562198
44.029117,47,5645.290813
