#{"t_start": 1744904144.1233473, "env_id": "None"}
r,l,t
1.472683,13,68.790994
3.446985,1,80.853443
113.908658,100,659.83179
15.414165,15,741.211473
6.068834,7,778.401022
29.30674,28,934.720559
1.857619,4,962.793066
-0.031319,4,983.44129
39.00018,48,1295.348738
41.750326,89,1790.456902
50.085671,60,2144.478406
47.270362,60,2491.091729
47.640172,100,3052.67407
0.84457,2,3062.802792
3.213176,6,3093.031495
-1.344628,1,3101.72597
13.739837,10,3164.389591
13.793028,25,3318.894999
7.930243,7,3355.415622
2.106988,1,3365.128557
95.328569,100,3937.895147
3.141307,4,3964.283762
-2.615295,15,4069.469258
3.995157,7,4116.527267
-1.197528,1,4127.757632
36.350205,38,4372.55585
44.973231,65,4785.383075
11.026695,16,4892.438541
71.95813,51,5230.692578
81.740949,100,5901.367719
12.356229,12,5979.673618
-3.537618,10,6049.800099
1.643081,4,6080.029669
