#{"t_start": 1743886689.7478063, "env_id": "None"}
r,l,t
-4.567341,10,18906.34079
-8.34178,1,18911.416435
28.846599,10,18962.047144
-10.045836,3,18984.098253
0.171693,30,19143.248324
-3.638595,1,19148.347114
-5.051346,2,19157.824079
-8.329918,1,19166.388863
4.726184,17,19251.11349
-20.808642,1,19256.193869
-7.121727,3,19270.162204
-6.165922,3,19288.720092
-20.492804,1,19297.318028
-7.876326,2,19306.785364
-4.018865,15,19382.06145
-6.964391,5,19406.151633
-6.790882,10,19468.478243
-4.903817,39,19667.621027
-8.896705,1,19672.688988
27.782824,11,19732.726272
-1.652097,12,19797.017907
-6.026424,10,19851.784769
-4.971932,6,19879.867302
1.720222,8,19922.09391
-8.688863,4,19952.136536
28.825015,11,20004.656507
3.991956,22,20120.987487
-4.683109,4,20143.803175
-5.520039,8,20181.858223
-5.602628,5,20213.843385
-26.686877,1,20222.480711
-5.461285,6,20262.699783
-6.250119,7,20303.497908
-7.338044,6,20337.028775
24.762202,58,20663.59477
-6.321774,3,20678.445568
2.261809,20,20779.639416
10.437256,19,20890.818238
-1.602335,9,20949.069801
43.230457,35,21132.0067
-11.420636,4,21151.511005
0.173652,20,21262.052927
-8.670248,11,21318.557174
-2.813451,6,21347.091882
-5.802124,1,21355.755707
-8.297754,2,21369.401741
43.172642,21,21490.58618
-8.820652,8,21537.539208
-8.175082,3,21552.39097
-10.550749,3,21570.712375
-2.593248,9,21625.676637
-7.635128,4,21645.262203
-27.659745,1,21654.095562
-7.118796,3,21669.635119
0.612483,8,21707.656375
27.278244,9,21761.895098
-1.705357,6,21791.405476
-3.815449,1,21799.926333
-4.811476,36,21988.305498
-0.039839,10,22039.340601
-6.017685,1,22048.134066
