#{"t_start": 1743886694.7934635, "env_id": "None"}
r,l,t
-2.956295,8,38.410727
-5.52054,21,160.477027
31.045814,12,225.303684
-4.647496,19,335.440109
3.004638,11,395.233807
-27.117071,1,403.826304
-7.572018,9,445.584166
1.47059,10,504.905325
-5.097282,2,518.052745
-9.898238,1,526.653723
-6.993487,10,581.45729
-12.631747,87,1040.962934
-1.741923,7,1073.634361
31.077907,9,1119.938415
27.174236,8,1164.681333
38.389644,21,1278.090307
1.238246,13,1363.811941
-26.299514,1,1372.381925
29.313492,40,1566.579463
-5.704543,11,1621.42041
-8.09975,4,1644.44737
-8.61957,4,1666.534573
-27.962518,1,1675.134176
-3.141126,29,1834.932265
-8.732554,5,1861.526626
-5.029789,7,1893.744719
1.845501,14,1971.188669
-1.504339,19,2069.138134
-5.700705,6,2108.836686
-15.215442,1,2113.922609
-5.290628,9,2156.51725
-5.465285,10,2211.230921
-3.752103,7,2247.919155
-1.417736,12,2315.698356
-8.404382,2,2325.138705
-15.784852,1,2330.228321
2.791946,8,2372.891592
-14.614631,1,2381.474024
-3.56047,16,2464.192172
-20.029218,1,2472.770191
27.161196,11,2532.399271
-4.329428,28,2681.923757
-13.652262,1,2690.522346
40.619111,9,2737.091244
2.688513,8,2786.232125
38.621015,52,3066.653057
38.698087,19,3171.806535
30.887039,63,3490.831857
-6.058156,6,3523.269507
-2.918665,7,3567.522706
0.218846,24,3700.045448
42.036891,52,3970.675762
-4.999313,62,4300.21089
-6.465468,39,4510.089862
-8.793259,10,4562.120148
-0.813324,18,4662.562358
1.188615,10,4712.925005
-22.015021,1,4718.002442
-7.870513,2,4727.980065
-7.784941,4,4751.470186
-2.128236,7,4792.445986
7.37393,100,5305.891704
31.955537,17,5388.397796
-7.191338,32,5567.474605
-1.075704,38,5772.723752
4.896932,17,5855.011056
1.2248,13,5916.084587
-11.593131,1,5924.682944
-4.13377,27,6082.24611
-5.014409,1,6087.359233
-20.858102,1,6095.945122
-2.027792,13,6164.671329
2.716906,19,6272.973776
-11.517693,1,6281.553503
-8.397144,7,6317.217726
0.155888,17,6403.543105
0.703855,26,6548.500529
36.423285,57,6843.865011
-5.800179,12,6911.478786
-1.427771,32,7076.906761
-4.76291,6,7112.532665
-0.050123,12,7183.239342
-8.084265,3,7201.29846
-1.886949,1,7209.866697
-2.436586,10,7260.50698
28.36824,11,7329.487322
40.335549,20,7454.564182
-6.451331,6,7486.591444
0.375123,7,7520.976643
-8.217058,2,7534.675678
-1.318943,1,7543.244914
-5.331558,1,7551.844929
-5.321662,3,7570.432166
0.040111,12,7626.276892
-1.85089,20,7739.094666
-6.9381,3,7757.656187
-10.967597,17,7855.727825
-4.935127,4,7878.227527
-3.312417,6,7910.359639
-1.026459,11,7973.757305
-1.782234,7,8010.928334
-8.257909,2,8020.924584
-7.321275,3,8035.469672
-25.150452,1,8044.049246
-9.326987,3,8066.147654
1.077932,26,8208.738104
-7.300355,1,8213.81614
-9.718277,1,8218.890561
-27.904458,1,8227.469933
-6.298067,4,8246.547952
30.16875,30,8405.519256
-0.503362,8,8451.72953
-16.557157,1,8460.306108
-1.053379,76,8879.467252
31.366701,12,8944.258179
-0.550137,15,9036.79141
-2.520092,45,9279.463408
32.217569,16,9357.243204
-7.674441,4,9380.272968
42.665177,31,9536.976219
40.001433,11,9597.801724
-6.774372,7,9639.036825
3.929737,19,9734.990152
-5.495342,5,9758.523113
-7.059449,1,9763.584929
-27.020878,1,9772.164234
0.994603,18,9874.739677
-7.475428,100,10384.561965
-2.877843,9,10434.75734
33.46183,78,10869.169646
26.999233,7,10906.920843
-7.438624,4,10933.039884
5.481924,22,11044.93525
1.089229,19,11153.062988
28.623232,10,11211.562258
-8.135075,7,11255.300442
-6.083459,8,11293.455985
38.957537,9,11340.548462
-5.940016,4,11362.625941
-7.620642,6,11394.257949
-0.100847,6,11427.308173
-1.195026,9,11470.461271
-0.250099,39,11680.155093
3.997453,20,11789.510396
-5.470023,4,11816.585433
-2.467483,51,12081.364109
-2.106481,62,12409.406712
-7.575936,6,12446.549027
-3.277635,2,12456.068681
-22.695769,1,12464.66793
-4.904814,6,12500.823157
42.080065,43,12723.711441
-5.835608,25,12859.570294
-17.023957,7,12900.282811
-8.935698,1,12905.357969
5.890636,14,12986.763391
-8.988489,39,13188.534374
2.607387,100,13687.534479
34.101453,23,13809.869972
-3.479847,9,13856.431545
-9.489983,1,13865.011105
37.503475,23,13985.366142
-3.884358,15,14067.425551
-4.903075,22,14185.369271
-0.42165,35,14372.043335
-6.316499,3,14385.97166
29.640059,11,14440.882609
-7.744844,5,14468.964953
-12.133299,6,14504.661412
0.635616,23,14624.110757
-5.002485,45,14872.259433
-8.183091,4,14890.802748
0.904173,1,14895.902618
-6.047498,1,14904.482185
0.403784,7,14945.5967
-7.077421,3,14960.091633
-5.408121,4,14979.535063
-0.489985,8,15020.22188
-5.902317,1,15028.801724
-0.083474,21,15142.2484
-23.318314,1,15150.827756
-5.382872,9,15193.906
-8.292598,3,15211.946575
-4.130285,30,15359.177836
-6.58612,1,15367.755164
2.653269,6,15403.953501
-3.665078,1,15412.446896
0.26747,14,15487.327823
-6.151073,4,15505.871916
-0.544472,14,15584.489985
-2.695771,29,15727.13178
-3.715383,12,15787.026259
-4.072267,9,15832.576016
-25.129455,1,15841.145934
-8.339209,3,15855.171121
-8.807646,3,15869.349186
2.73334,81,16292.851554
-6.557976,8,16333.478452
-26.112414,1,16342.077756
-7.181222,19,16439.911917
-2.144648,14,16516.790457
-5.525807,4,16543.903522
-3.400958,37,16756.631447
-1.270314,14,16830.892232
-27.801744,1,16839.47159
-7.122897,3,16854.016944
-4.128329,47,17101.922763
0.59147,7,17139.569468
-14.625513,1,17144.669769
-9.070815,1,17149.749993
-7.675589,2,17170.217623
0.373276,12,17230.32621
40.764597,1,17238.83085
-12.745894,11,17293.091885
-1.851104,6,17324.640109
-7.147185,7,17360.789105
-27.786859,1,17369.368862
43.204909,11,17428.155476
2.778304,12,17496.01497
-7.484259,6,17524.636883
