#{"t_start": 1743886689.7393217, "env_id": "None"}
r,l,t
-6.39994,4,24.264449
-6.188804,27,175.09045
30.976098,12,240.336597
-6.623562,6,276.54726
2.5446,13,349.939604
-27.895301,1,358.519427
-9.01931,4,377.642548
1.302541,14,450.660942
0.726799,2,460.287898
-9.574878,2,473.826443
-6.021594,11,545.259632
-0.660429,7,581.50253
-22.443759,1,590.12284
0.465752,35,771.634043
-15.87097,1,780.185855
-5.930651,6,816.897729
1.816081,9,859.847368
0.83482,23,972.851668
37.928437,65,1328.278632
-5.611745,22,1450.927448
-8.256046,8,1488.560493
-10.128419,5,1512.353147
-1.531481,24,1634.986774
-0.973443,23,1763.13387
-6.506679,4,1782.148298
-5.377872,8,1822.953719
-9.727236,7,1863.209322
0.439016,8,1903.789171
38.167519,42,2133.048357
-2.869414,4,2152.050575
-2.666958,13,2221.274348
-5.314785,16,2307.705162
40.991867,44,2550.980187
-0.876861,9,2596.617934
-9.341822,1,2601.677885
-5.30804,5,2626.124443
0.467639,1,2634.840539
-4.250438,14,2709.581417
-28.176086,1,2718.160821
-8.896264,4,2737.14163
-26.842227,1,2745.74018
-3.125795,9,2796.307859
26.928446,15,2883.090226
0.895343,24,3010.950495
1.595654,14,3081.704187
31.410937,27,3223.607843
-1.370508,27,3369.491421
-4.730757,6,3402.484919
3.42941,12,3458.729395
34.068237,25,3599.126903
1.77757,7,3635.364896
14.497484,17,3727.213729
-1.977563,32,3893.457602
-4.729078,10,3943.694495
-6.707563,21,4061.081701
-6.825349,22,4175.293263
1.534903,9,4217.37053
-26.905982,1,4225.969344
-7.886864,2,4235.955106
-9.637216,13,4308.763173
-6.130166,19,4405.863591
0.693066,64,4751.523342
-7.636202,3,4765.960128
-6.576893,31,4930.048562
-11.579777,100,5448.154158
-0.958966,14,5525.856591
-28.1732,1,5534.426122
-5.566229,14,5601.013232
-4.633113,9,5642.242937
-3.053937,7,5678.456236
-20.580104,1,5683.544331
-2.822667,14,5772.770196
31.333345,19,5865.053087
0.431645,7,5897.627338
-8.25238,4,5916.153111
1.506478,11,5983.486966
0.224306,31,6160.260123
38.294272,41,6384.507557
-9.129275,5,6412.102298
1.149236,19,6513.398244
-4.322768,1,6521.97766
0.197291,13,6586.654464
-7.858764,5,6610.222928
6.113437,13,6688.390673
-2.27417,8,6729.939269
30.063066,11,6784.172704
41.294066,12,6843.929271
-6.768016,18,6940.12465
-0.451079,7,6975.807881
-8.081825,2,6985.276897
-0.354725,5,7008.519428
-7.754313,2,7018.039287
-26.565091,1,7026.618675
0.20847,13,7099.449692
-27.110198,1,7108.049
-10.949068,5,7135.152265
1.514826,28,7297.246229
-9.4906,2,7307.369716
-0.73114,1,7312.458243
-27.687467,1,7321.038328
-10.953471,2,7338.033432
-8.255892,2,7351.519166
-7.295427,3,7373.136087
-24.708066,1,7381.918095
-9.765849,2,7398.895906
2.135658,13,7468.095953
-6.028905,4,7486.614494
-8.258586,2,7496.644738
2.829035,12,7566.877115
-21.786846,51,7847.75543
-5.8423,6,7879.786992
-0.564885,9,7933.552233
-17.955503,5,7964.744947
-3.688185,13,8031.061433
3.688668,15,8118.387175
-17.302893,1,8126.965723
-0.064547,21,8242.076771
3.809964,17,8335.923325
-5.773265,11,8387.672125
43.565169,22,8515.20231
37.877338,32,8688.486445
-5.622283,5,8716.163967
4.853334,1,8724.77021
-9.548132,9,8774.430943
-9.258256,5,8802.111834
-3.900544,11,8860.920357
1.804631,15,8944.300246
-28.075404,1,8952.900203
-4.027371,7,8992.98084
-27.271594,1,9001.579831
-1.181906,16,9093.038179
-9.122823,4,9118.706556
-5.120483,5,9142.388034
2.827438,8,9187.440805
0.895577,17,9271.03714
-4.809295,8,9312.094703
-6.61351,4,9330.676225
-0.948412,8,9372.282956
37.865928,32,9537.041296
-1.39555,7,9574.781996
-11.319754,2,9584.750786
-5.813301,37,9785.706238
29.609487,13,9853.350255
24.550953,92,10326.315681
-5.494081,4,10344.916216
-1.874352,9,10394.721027
-6.086119,1,10406.768364
-7.324089,4,10425.82515
-4.905398,6,10453.824107
-8.9273,5,10476.887293
-4.823473,6,10513.501127
43.380903,34,10707.786111
-7.158087,26,10851.701906
-0.849042,11,10911.979179
-9.496212,1,10920.558039
7.818461,14,10997.361768
-5.805706,7,11030.962431
31.08747,35,11233.703099
-3.931199,9,11279.453537
-2.824841,6,11307.972425
-18.167058,1,11316.551418
39.808169,10,11364.213949
-3.863886,14,11442.45432
