#{"t_start": 1743951807.245285, "env_id": "None"}
r,l,t
-12.2,22,112.000704
-10.9,9,158.671136
12.8,72,554.87741
-10.9,9,608.603876
-10.1,1,617.258433
-10.7,7,658.271308
18.1,19,770.83784
29.0,10,822.555871
-10.3,3,836.537997
28.9,11,896.298199
-11.3,13,964.639607
-10.5,5,992.744713
-10.6,6,1020.351288
18.6,14,1104.719557
-10.4,4,1123.249892
-16.9,69,1488.44007
-11.0,10,1543.247383
-10.6,6,1575.467745
-10.9,9,1624.642399
-10.6,6,1655.806847
-10.7,7,1692.46048
-10.5,5,1716.044034
-10.1,1,1721.096049
-10.1,1,1732.979974
-10.5,5,1756.066378
-10.2,2,1769.205016
22.3,77,2161.472435
-10.8,8,2207.89187
-10.1,1,2216.48078
-10.8,8,2262.260236
-11.0,10,2312.569422
-10.1,1,2317.64773
-10.6,6,2357.743874
-10.9,9,2416.001575
-10.3,3,2431.062947
-10.9,9,2473.763146
-10.4,4,2496.782749
18.3,17,2579.830418
-12.5,25,2718.653241
-10.3,3,2736.698732
-10.3,3,2754.740943
-11.1,11,2810.536752
-11.9,19,2923.331686
-10.1,1,2928.432083
-10.1,1,2933.532382
-10.1,1,2942.130928
-12.6,26,3078.479765
16.5,35,3247.449332
-10.7,7,3279.671314
-10.1,1,3288.26147
-12.5,25,3418.119529
-10.4,4,3441.624406
-11.4,14,3515.68372
-11.1,11,3573.5817
-10.8,8,3610.242276
-10.1,1,3618.820706
-11.1,11,3677.561748
12.8,72,4048.911166
-13.6,36,4229.962641
15.7,43,4456.413179
-10.7,7,4496.507011
-10.7,7,4537.534915
-11.0,10,4589.282078
-10.6,6,4621.311361
-10.8,8,4658.850579
-10.1,1,4667.449229
19.4,6,4700.214354
-10.8,8,4742.217426
-10.2,2,4759.213763
-10.5,5,4782.682023
-10.4,4,4801.85236
28.8,12,4870.07329
-10.6,6,4903.195521
-17.7,77,5309.83389
-10.9,9,5356.002668
-12.0,20,5477.002858
-11.6,16,5558.856493
16.2,38,5768.421434
19.4,6,5799.503585
28.4,16,5883.674495
-10.6,6,5915.211293
17.2,28,6055.098072
-10.9,9,6109.499882
-12.9,29,6275.786744
-11.0,10,6328.057248
-10.1,1,6336.637847
-13.2,32,6492.402508
15.5,45,6746.504984
-16.2,62,7063.662184
-10.7,7,7103.800598
-11.0,10,7159.132244
24.2,58,7456.083008
-11.3,13,7529.093583
-11.0,10,7591.898142
-10.9,9,7638.007959
-11.0,10,7696.164934
-10.1,1,7704.740273
-10.2,2,7714.205071
-10.4,4,7733.26026
-10.7,7,7765.42743
-10.1,1,7777.382346
-10.7,7,7810.057172
-10.9,9,7856.176109
19.1,9,7897.515182
-10.2,2,7911.034778
-12.7,27,8048.851839
-10.7,7,8088.986338
-10.1,1,8094.029754
