#{"t_start": 1744868367.4714153, "env_id": "None"}
r,l,t
1.641981,9,48.525827
-2.524119,7,84.759202
0.655385,15,162.486701
-9.786076,17,241.505152
0.040041,1,250.501125
-14.554487,8,291.0926
-0.092554,1,299.663603
-8.357103,19,403.226591
0.677384,3,417.24166
-12.306075,100,897.618178
-1.88006,22,1012.07936
-16.960128,24,1128.273901
-0.367691,11,1178.457688
-1.264971,1,1187.352544
2.069153,5,1210.399781
0.000661,2,1219.825405
-0.423577,1,1224.933909
1.581806,1,1233.792787
-3.783659,9,1275.485209
2.015884,2,1288.629386
-23.50921,50,1531.058991
-0.038698,4,1550.157187
-0.881466,6,1582.782125
-4.831823,18,1671.978109
0.634266,3,1690.039075
-12.922377,14,1758.224936
-4.315568,12,1817.156901
-5.184219,11,1872.257303
0.044559,4,1898.88204
2.640996,30,2044.151389
-0.687795,9,2086.028374
-0.320918,1,2094.605761
-1.449154,27,2228.239212
-0.413571,7,2263.942278
-0.845592,1,2272.541752
-0.392404,100,2764.19833
0.603124,9,2810.243204
-0.361467,7,2843.770847
-3.358867,9,2890.578082
-0.476071,1,2899.224315
-0.434349,7,2931.867307
-2.161362,6,2968.125005
-14.719282,85,3369.806742
-0.661645,8,3407.179498
-5.893056,100,3899.355233
-3.377403,8,3937.266475
-0.32254,14,4006.395442
-1.750035,10,4061.428859
-5.874889,13,4122.710163
-3.932722,12,4190.379017
-1.391545,6,4218.24221
-1.76184,7,4254.011488
0.026407,6,4286.727384
-0.963385,1,4295.460549
-1.994821,8,4333.971565
-1.829023,1,4346.056114
-0.196576,6,4374.234483
-30.827159,13,4437.141122
3.476042,2,4447.075013
-0.130216,1,4456.066785
-5.477224,12,4515.382925
0.054758,3,4534.544044
-6.252272,36,4716.147128
2.24701,13,4785.115095
0.321555,3,4803.002846
-4.149747,23,4920.93386
0.936695,16,5003.936297
-0.866752,17,5086.153091
