#{"t_start": 1743951806.064638, "env_id": "None"}
r,l,t
-12.5,25,131.244289
-10.6,6,159.836185
-10.2,2,172.975515
-10.9,9,219.541383
-13.4,34,400.63721
-10.2,2,410.614556
-10.3,3,429.391805
16.7,33,623.429477
-10.3,3,641.951351
-11.9,19,750.010625
-13.3,33,929.597091
-10.1,1,938.194739
-10.9,9,980.314731
-10.1,1,988.911831
-15.5,55,1279.060645
-11.0,10,1330.355876
-10.7,7,1371.586284
21.7,83,1817.138804
-12.2,22,1928.051065
-10.7,7,1964.072193
-11.4,14,2034.136612
18.0,20,2131.0197
-13.8,38,2353.936534
-10.6,6,2394.587956
-11.0,10,2446.328661
-10.8,8,2484.399148
-16.2,62,2816.739642
-10.2,2,2830.269729
-10.1,1,2842.216473
-10.3,3,2856.73743
-10.5,5,2887.838043
-15.7,57,3180.197744
-14.3,43,3396.330238
-10.7,7,3434.314911
-10.1,1,3446.302698
13.0,70,3799.401452
17.0,30,3950.122747
-11.0,10,4016.361792
-11.0,10,4064.181107
-10.2,2,4073.639619
-10.5,5,4097.672702
-10.1,1,4102.771971
-10.1,1,4107.852207
-10.1,1,4116.451481
-12.1,21,4218.090152
-12.0,20,4320.062575
-10.1,1,4328.549814
-10.8,8,4370.327758
-10.7,7,4407.460273
-11.0,10,4462.603637
-11.6,16,4553.72491
-10.5,5,4580.931248
-10.6,6,4612.955717
-11.7,17,4701.383709
28.7,13,4774.399075
-10.3,3,4788.974733
-10.5,5,4813.048868
-10.8,8,4854.172493
-10.7,7,4899.364123
27.1,29,5042.873376
-11.2,12,5107.188765
-11.9,19,5211.059406
-11.6,16,5293.922615
-10.7,7,5334.576851
-11.0,10,5393.810163
-10.1,1,5402.409708
-11.1,11,5460.035697
-15.0,50,5733.028345
-10.5,5,5761.047542
-10.1,1,5773.066741
-11.6,16,5852.267482
-10.3,3,5870.320096
28.9,11,5925.941152
-12.6,26,6059.759301
-10.7,7,6100.579317
-10.9,9,6150.782038
-11.5,15,6232.195728
-11.2,12,6301.039573
-10.1,1,6309.614834
-11.3,13,6375.524744
-10.5,5,6400.585757
-10.1,1,6409.165311
-12.0,20,6510.654826
-10.3,3,6524.649997
-10.2,2,6534.107407
-10.6,6,6569.699457
-10.1,1,6578.279512
-10.9,9,6620.870632
-10.1,1,6629.490473
-10.5,5,6653.076251
-10.1,1,6661.650093
-10.2,2,6675.148243
-10.8,8,6720.214459
-10.5,5,6747.689111
-12.0,20,6852.921204
-10.1,1,6861.519173
-10.2,2,6875.024661
-11.1,11,6926.631677
-10.1,1,6935.230542
-10.5,5,6958.892252
-10.1,1,6967.470836
-10.0,100,7486.836172
-10.4,4,7505.877368
-10.6,6,7535.344928
19.1,9,7589.577667
-11.0,10,7651.280335
-10.3,3,7665.26415
-17.6,76,8058.521811
-11.5,15,8155.505807
16.5,35,8351.245802
-13.7,37,8555.545682
18.5,15,8642.289645
-10.7,7,8684.153152
-10.6,6,8716.799487
-10.6,6,8748.393168
-10.1,1,8756.964346
-11.1,11,8821.141438
-11.5,15,8907.088003
-11.5,15,8985.783091
-10.1,1,8994.370942
-11.6,16,9081.797635
-11.6,16,9156.162496
-12.4,24,9287.262765
-10.2,2,9300.76336
-10.0,100,9836.258415
-10.5,5,9859.34376
-10.1,1,9867.931189
-17.0,70,10244.701114
-10.5,5,10267.762614
-10.7,7,10301.350475
-10.7,7,10338.038488
-10.1,1,10350.049696
19.4,6,10382.576663
-11.4,14,10461.796455
-11.1,11,10517.655381
-11.0,10,10575.311169
-10.6,6,10607.833893
-16.6,66,10972.343509
13.0,70,11353.339539
-13.8,38,11533.777102
-10.7,7,11566.931585
15.4,46,11818.568413
-10.6,6,11850.723434
-10.1,1,11855.804495
