#{"t_start": 1744812324.4645658, "env_id": "None"}
r,l,t
7.684653,3,16.504507
16.911748,8,57.779655
139.57458,59,341.909055
25.313999,10,396.071404
15.667404,6,423.676959
2.354238,1,432.388685
18.245707,8,469.776431
1.564777,1,478.646214
90.435195,39,661.731366
19.403936,8,698.574864
7.680047,3,713.073082
19.450745,9,758.316087
1.84118,1,766.88481
26.081034,10,821.318745
32.399626,15,890.927565
16.790288,7,931.483373
43.958846,20,1032.746567
13.318442,5,1056.470817
25.818441,10,1103.218448
15.289396,6,1134.673109
13.810214,6,1166.354378
34.059999,14,1235.650707
2.319301,1,1247.611685
28.834275,12,1308.429384
21.173989,8,1338.614344
17.581095,7,1371.332448
2.836063,2,1380.781979
15.449932,6,1413.492418
43.762361,20,1518.078535
40.874421,19,1610.231441
1.793883,1,1619.080264
22.155961,11,1677.743623
1.865332,1,1686.319933
4.456626,2,1703.353764
16.656349,7,1736.054014
27.76998,12,1800.418527
29.89397,13,1860.231206
33.854021,14,1932.113958
15.418926,6,1963.653499
8.060961,3,1977.682125
10.650595,5,2005.329952
7.708607,3,2019.84069
200.560343,91,2465.914487
12.180394,6,2497.683973
7.725682,3,2512.222927
25.694229,11,2566.98873
16.302009,8,2608.897662
23.975522,10,2659.157105
51.111204,25,2774.154894
1.926323,1,2782.836659
162.174381,70,3106.320554
8.906215,3,3124.932619
2.751183,1,3133.733666
24.442091,10,3180.280173
63.09947,28,3336.7197
65.572455,28,3468.117221
2.453542,1,3476.656227
95.944481,41,3684.629655
18.384327,12,3740.244263
14.868846,8,3780.691359
199.389116,85,4203.351832
37.791697,16,4285.350457
16.138017,8,4322.138371
3.143692,1,4327.619793
2.736577,1,4333.06206
2.133945,1,4341.680247
30.717282,12,4397.502755
27.457645,11,4444.797938
7.738189,3,4459.121004
19.781378,8,4499.825532
28.393469,11,4558.075272
25.039936,10,4604.370548
5.266634,2,4614.010572
11.167042,4,4636.641128
2.411129,1,4645.526865
115.494575,48,4873.590306
22.794989,10,4924.602425
20.339217,8,4961.81126
17.766701,7,4994.001573
32.635102,13,5062.618897
21.888526,10,5116.418123
13.009484,5,5140.175623
